sentence,fuel,machine,others,part,price,service
"Wah, AVS semetone ekonomis pisan, bro, AVG tiange tuah sekitar 1:8 ngantos 1:9, macet pisan ring jalan.",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner punika mobil impian tiange. Puniki SUV sane maal sujatine, nanging patut pisan.",neutral,neutral,neutral,neutral,negative,neutral
"Yening selehin ring spesifikasinyane, harga Ertiga punika cukup ramah kantong",neutral,neutral,neutral,neutral,positive,neutral
Ternyata perawatan Yamaha rata-rata lebih murah tekening pesaingne.,neutral,neutral,neutral,neutral,neutral,positive
"Tiang sampun madue motor Honda Beat puniki duang tiban tiang nganggen motor puniki sabilang wai anggen ngajak pianak tiange ka sekolah lan makarya. Motor punika cukup lincah, lincah lan hemat bahan bakar.",positive,positive,neutral,neutral,neutral,neutral
Pajero madue mesin sane lebih kuat lan akeh fitur .,neutral,positive,neutral,positive,neutral,neutral
Suzuki Ignis lan Daihatsu Sirion harga jualnyane taler nenten stabil .,neutral,neutral,neutral,neutral,negative,neutral
"Manut tiang, suspensi Avanza punika agak aneh. Yen tuah iraga ajaka dadua dogen, gantungne marasa keras pesan. nanging yening sampun kadagingin antuk 6-7 diri suspensi punika wiakti becik.",neutral,neutral,neutral,negative,neutral,neutral
"Yen suba di duur 120 km/jam, Avanza tiange sujatine boros, tur koplingne agak keras, Pak.",negative,neutral,neutral,negative,neutral,neutral
"Kapertama tiang ngelah mobil puniki, rasane sekadi ipian, krana sesampune polih mobil punika, sujatine tiang menang jinah 10 yuta rupiah ring lotre saking Daihatsu. Mobil sane ekonomis, layanan sane dangan lan murah.",positive,neutral,neutral,neutral,neutral,positive
Becikan yening semeton prasida numbas VRZ 4*4 sane madue fitur spoiler lengkap ring toko variety,neutral,neutral,neutral,positive,neutral,neutral
Rush maartos konsumsi bahan bakar sane tetep hemat.,negative,neutral,neutral,neutral,neutral,neutral
"Xenia kantun kirang ring sajeroning keamanan. Tusing ada kantong udara, bos.",neutral,neutral,neutral,positive,neutral,neutral
Pajero Sport Dakar punika sujatinnyane ring baduur Fortuner .,neutral,neutral,negative,neutral,neutral,neutral
Tiang tusing demen teken XPander sadurungne.,neutral,neutral,negative,neutral,neutral,neutral
Altis gen 11 puniki pas pisan majeng ring sang sane ngarereh kenyamanan nyetir .,neutral,neutral,positive,neutral,neutral,neutral
Napi mawinan stir Fortuner tiange marasa agak nenten nyaman? Nénten fleksibel.,neutral,neutral,neutral,negative,neutral,neutral
Revs sane lebih rendah ring mesin Fortuner punika kuat pisan .,neutral,positive,neutral,neutral,neutral,neutral
"Jujur, Fortuner puniki wiakti tangguh kaanggen ring medan napi kemanten",neutral,positive,neutral,neutral,neutral,neutral
"Ring pengalaman tiange, tiang ngelah Avanza, bahan bakarne lebih efisien tekening dugas tiang ngelah Xenia .",negative,neutral,neutral,neutral,neutral,neutral
"Dibi tiang negak di Honda Brio, tiang tuah ngelah 2 tiban lan jarang tiang nganggon, remne bunyi, remne enggal usak, booster rem utawi segel master remne bocor.",neutral,neutral,neutral,negative,neutral,neutral
"Sirion puniki kaliwat mahal, bos, minab nenten kaadol ring Indonesia",neutral,neutral,negative,neutral,negative,neutral
Xenia puniki mobil sane paling jelek sane naenin tiang gelahang .,neutral,neutral,negative,neutral,neutral,neutral
"Tiang ngakuin yen sujatine melah pesan nunggang Hrv ene, adin ceninge nganggon Hrv",neutral,neutral,positive,neutral,neutral,neutral
Malu pesan tusing ada anak ane kompeten di bengkel Honda. Saminggu sesampun bengkel suarane ngawit malih.,neutral,neutral,neutral,neutral,neutral,negative
"DAIHATSU TARUNA, lempas saking penampilannyane sane modern duk punika, ipun madue kapasitas penumpang sane ageng lan pastika, mobil puniki kakaryanin antuk gaya SUV .",neutral,neutral,neutral,positive,neutral,neutral
"Manut titiang, saking segi kenyamanan, Xenia punika nenten ja kaon .",neutral,neutral,positive,neutral,neutral,neutral
Avanza punika hemat bahan bakar.,positive,neutral,neutral,neutral,neutral,neutral
Toyota Rush warsa 2018 puniki ngawinang luar biasa,neutral,positive,neutral,neutral,neutral,neutral
Avanza inggih punika mobil sane nyaman antuk kulawarga lan nenten mael pisan antuk miara .,neutral,neutral,positive,neutral,neutral,positive
"Tiang maca di duur pisagane, Xenia masih naik sekitar 2-3 juta. Mobil sayan mael mangkin.",neutral,neutral,neutral,neutral,negative,neutral
Ento ane ngranayang tiang takut teka ka bengkel Honda Autoland anggon layanan serius sawireh pastika lakar katulak .,neutral,neutral,neutral,neutral,neutral,negative
Setata satya nganggen sabilang produk Nissan.,neutral,neutral,positive,neutral,neutral,neutral
"Tiang tusing nawang ngudiang Avsen ento joh lebih melah anggon mobil perang, yadiastun tusing stabil, tusing nyaman pesan,",neutral,neutral,negative,neutral,neutral,neutral
"Tiang demen pisan sareng Agya, tarikannyane mulus pisan",neutral,positive,neutral,neutral,neutral,neutral
"Tiang pastika milih Pajero, sajabaning modelne keren lan kacingak dinamis, mesine masih hebat, model dasborne sportif",neutral,positive,positive,positive,neutral,neutral
"Toyota Rush tiange suba 8 tiban, tusing ngelah daya penuh",neutral,negative,neutral,neutral,neutral,neutral
"Tiang suba ngelah Lexi seminggu, joh lebih nyaman tekening Vario.",neutral,neutral,negative,neutral,neutral,neutral
Tarikan lincah punika pastika Avanza .,neutral,positive,neutral,neutral,neutral,neutral
Xenia punika mamargi lebih lincah tekening Avanza sane agak lemah .,neutral,negative,neutral,neutral,neutral,neutral
kawisesan sane becik. Rem kombi Vario125 esp punika enak tur nenten ngawinang kimud.,neutral,positive,neutral,positive,neutral,neutral
"Kopling Avanza tiange agak keras, Pak.",neutral,neutral,neutral,negative,neutral,neutral
nanging harga otr xi punika mael ring li .,neutral,neutral,neutral,neutral,positive,neutral
Mitsubishi raja ring margi,neutral,neutral,positive,neutral,neutral,neutral
"Jemput mobil ring Bengkel Honda Pondok Indah. Layanan sampun puput, nanging mobilne sujatine kotor. nanging teknisi punika kekeh sampun kacuci.",neutral,neutral,neutral,neutral,neutral,negative
Tiang pengguna Xenia Li VVTI 2008 tiang durung wenten pikobet nganggen lancar.,neutral,neutral,positive,neutral,neutral,neutral
"Xenia sujatine bandel, tiang sujatine seneng teken mobil tiange.",neutral,positive,positive,neutral,neutral,neutral
Sane sampun sinah tiang nenten nyesel milih Calya .,neutral,neutral,positive,neutral,neutral,neutral
Tiang wantah pemula. Lebih seneng ring eksterior sane Brio. Wantah yening jangkepnyane fitur punika sampun patut .,neutral,neutral,neutral,positive,neutral,neutral
"Majeng ring semeton sane madue Avanza utawi Xenia, pastika sampun ngrasayang suara ring jero kabin lan suspensi mobil sane lemet.",neutral,neutral,neutral,negative,neutral,neutral
Manuver Avanza punika becik pisan .,neutral,positive,neutral,neutral,neutral,neutral
"Avanza madue kapasitas sane nyaman lan aman 7 penumpang, lan daya tahan sane becikan santukan sasis semi monocoque sane kaadungang sareng sub-rangka skipper .",neutral,neutral,neutral,positive,neutral,neutral
"Yadiastun hargane maal, konsumsi bahan bakar Fortuner masih nguras dompet ceninge .",negative,neutral,negative,neutral,neutral,neutral
Xenia Li puniki cukup mampu dados mobil sane ekonomis lan cukup kuat.,positive,positive,neutral,neutral,neutral,neutral
Suku cadang Fortuner sane sukil kapanggihin,neutral,neutral,neutral,negative,neutral,neutral
"Sane senengin tiang ring Avanza inggih punika volumenyane sane ageng, alit-alite prasida bebas masandekan ring mobil",neutral,neutral,neutral,positive,neutral,neutral
"Tiang madue keluarga Xenia Li 08, tiang durung wenten keluhan indik nganggen punika.",neutral,neutral,positive,neutral,neutral,neutral
"Pramangkin angob ring kenyamanan, ngawit saking sesak kabin, penunjang suspensi, dll",neutral,neutral,positive,positive,neutral,neutral
"Kenken carane Fortuner... tuah daya biasa, Pajero Sport tusing ngelah daya anggon malu-malu teken ento",neutral,positive,neutral,neutral,neutral,neutral
"12 tempat cangkir mirib tusing ada gunane anggon mobil pitu kursi, apa adan ane pitung kursi?",neutral,neutral,neutral,negative,neutral,neutral
Honda Brio madue stir sane tepat lan tegak lurus sakadi 86 taler kursi gaya balap sane sportif.,neutral,neutral,neutral,positive,neutral,neutral
"nyesel numbas agya, tarikanne lambat yen liu anggon, tusing kuat",neutral,negative,neutral,neutral,neutral,neutral
"Yening maosang indik kinerja keseluruhan, sampun sinah Pajero menang ring Fortuner .",neutral,neutral,negative,neutral,neutral,neutral
Sane ngawinang punika wantah pangargan Fortuner punika ring sor pangargan Pajero .,neutral,neutral,neutral,neutral,negative,neutral
Silih sinunggil sane pinih senengin titiang ring merek Honda inggih punika kursi ultra .,neutral,neutral,neutral,positive,neutral,neutral
"Avanza puniki, bos, sayan becik",neutral,neutral,positive,neutral,neutral,neutral
"Tiang ngakuin mobil puniki sane pinih cocok antuk makarya antuk mobilitas sane tegeh, gede napi ten, alit napi ten, ngeranjing desa-desa gang alit ring pendakian sane curam, lincah, lan sane pinih utama penggerak roda belakang cocok antuk sekancan medan",neutral,positive,neutral,positive,neutral,neutral
"Ignis Worth punika mas antuk harga sane pinih andap 139,5 yuta.",neutral,neutral,neutral,neutral,positive,neutral
"Beli Beat Fi anggen sedina-dina, tarikannyane nyaman, hemat pisan yening anggen kuliah. Hargane oke.",positive,positive,neutral,neutral,positive,neutral
"Wuling Confero S 1,5 L Lux+ ke Taman Jawa Timur 3 karasayang kenyamanan mobil puniki nenten ja nenten mantap.",neutral,neutral,positive,neutral,neutral,neutral
"xpander punika keren taler, rasane sakadi mobil masa depan",neutral,neutral,positive,neutral,neutral,neutral
"Konsumsi bahan bakar HRV taler ekonomis pisan, ngantos 13,5 km/l .",positive,neutral,neutral,neutral,neutral,neutral
Kauntungan Avanza sane ngawinang tiang jatuh cinta sareng Avanza inggih punika nganggen sistem penggerak roda belakang.,neutral,neutral,neutral,positive,neutral,neutral
"Hadeh toyota pradone ento makejang rusak. Wiakti, adin tiange ngorahang miara mobil otomatis ento meweh",neutral,neutral,neutral,neutral,neutral,negative
"All New Avanza puniki sayan nyaman, sayan lincah. akselerasi sane becikan.",neutral,positive,neutral,neutral,neutral,neutral
Toyota Rush puniki cocok antuk makasami musim antuk semangat petualangan.,neutral,neutral,positive,neutral,neutral,neutral
"Tiang pengguna Xpander, tiang nyobakin ring bukit Dieng sareng 6 penumpang dewasa, ten wenten masalah. Lan mobil puniki sujatiné ageng pisan .",neutral,neutral,positive,neutral,neutral,neutral
Brio punika wiakti becik tur patut kaadol becik .,neutral,neutral,positive,neutral,neutral,neutral
" @iip_bados05 resmi bengkel toyota, honda, Daihatsu madue standar sane becikan tekening bengkel biasa, bro, dadosne astrido madue toyota.",neutral,neutral,neutral,neutral,neutral,positive
"Yening ngutamayang desain, becikan wantah nganggen Brio, nanging ring segi daya punika kantun kirang",neutral,negative,neutral,positive,neutral,neutral
Mobil Brio ento sujatine jelek tur tusing melah.,neutral,neutral,negative,neutral,neutral,neutral
"Gaya Fortuner puniki wiakti gaya, cocok antuk semeton sane seneng maplalian Instagram",neutral,neutral,neutral,positive,neutral,neutral
"Nunggang Honda Beat, ane 180 cm tiang marasa buka adi gede nunggang troli bayi.",neutral,neutral,negative,neutral,neutral,neutral
Kelemahan daya Avanza inggih punika seneng tedun yening sampun panes .,neutral,negative,neutral,neutral,neutral,neutral
"Dibi tiang polih grab nganggen XPander Exceed, ternyata joh lebih nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"Nganggen HR-V 1.8, tiang taler ngrasayang mobil puniki madue kabin sane jimbar lan interior sane becik.",neutral,neutral,neutral,positive,neutral,neutral
"Hargane murah, nanging mesin Avanzane becik masih.",neutral,positive,neutral,neutral,positive,neutral
Ajin Honda Brio RS punika kaliwat mael manut titiang pribadi.,neutral,neutral,neutral,neutral,negative,neutral
"Kualitas produk, teknologi, lan suku cadang sane kajamin taler dados aspek sane ngawinang daya tarik Avanza majeng ring sang sane madue .",neutral,neutral,positive,positive,neutral,neutral
"Yening wenten anggaran, pilih dogen Xi, ia narik lebih becik lan lebih sakti,",neutral,positive,neutral,neutral,neutral,neutral
Avanza sujatine mendukung profesi sane tiang jalanin krana antuk mahasiswa sekadi tiang.,neutral,neutral,positive,neutral,neutral,neutral
Karakter mesin Livina puniki gelis ring rpm sane tegeh utawi ring jarak sane doh.,neutral,positive,neutral,neutral,neutral,neutral
Avanza puniki wantah mobil sane keren pisan. Daya tahan mesine nenten wenten sane patut karaguang. ring bukit punika nenten ja ngawinang kimud.,neutral,positive,positive,neutral,neutral,neutral
"Ring awal warsa 2018, tiang nyobakin facelift Altis gen 11, rasane mobil puniki sayan hemat.",positive,neutral,neutral,neutral,neutral,neutral
"Niki sujatine canda, Honda, tuah setengah dina, jani tuah jam 10, tiang tusing nerima servis motor buin,",neutral,neutral,neutral,neutral,neutral,negative
